,val,x,y
0,0.5,0,0
1,0.5,1,0
2,0.5,2,0
3,0.5,3,0
4,0.5,4,0
5,0.5,5,0
6,0.5,6,0
7,0.5,7,0
8,0.5,8,0
9,0.5,9,0
10,0.5,10,0
11,0.5,11,0
12,0.5,12,0
13,0.5,13,0
14,0.5,14,0
15,0.5,15,0
16,0.5,16,0
17,0.5,17,0
18,0.5,18,0
19,0.5,19,0
20,0.5,20,0
21,0.5,21,0
22,0.5,22,0
23,0.5,23,0
24,0.5,24,0
25,0.5,25,0
26,0.5,26,0
27,0.5,27,0
28,0.5,28,0
29,0.5,29,0
30,0.5,30,0
31,0.5,31,0
32,0.5,32,0
33,0.5,33,0
34,0.5,34,0
35,0.5,35,0
36,0.5,36,0
37,0.5,37,0
38,0.5,38,0
39,0.5,39,0
40,0.5,40,0
41,0.5,41,0
42,0.5,42,0
43,0.5,43,0
44,0.5,44,0
45,0.5,45,0
46,0.5,46,0
47,0.5,47,0
48,0.5,48,0
49,0.5,49,0
50,0.5,50,0
51,0.5,51,0
52,0.5,52,0
53,0.5,53,0
54,0.5,54,0
55,0.5,55,0
56,0.5,56,0
57,0.5,57,0
58,0.5,58,0
59,0.5,59,0
60,0.5,60,0
61,0.5,61,0
62,0.5,62,0
63,0.5,63,0
64,0.5,64,0
65,0.5,65,0
66,0.5,66,0
67,0.5,67,0
68,0.5,68,0
69,0.5,69,0
70,0.4,70,0
71,0.4,71,0
72,0.5,72,0
73,0.5,73,0
74,0.5,74,0
75,0.5,75,0
76,0.4,76,0
77,0.4,77,0
78,0.4,78,0
79,0.5,79,0
80,0.4,80,0
81,0.4,81,0
82,0.5,82,0
83,0.4,83,0
84,0.5,84,0
85,0.4,85,0
86,0.4,86,0
87,0.4,87,0
88,0.4,88,0
89,0.4,89,0
90,0.4,90,0
91,0.4,91,0
92,0.4,92,0
93,0.4,93,0
94,0.5,94,0
95,0.4,95,0
96,0.4,96,0
97,0.4,97,0
98,0.4,98,0
99,0.4,99,0
100,0.4,100,0
101,0.4,101,0
102,0.4,102,0
103,0.4,103,0
104,0.4,104,0
105,0.4,105,0
106,0.4,106,0
107,0.4,107,0
108,0.5,0,1
109,0.5,1,1
110,0.5,2,1
111,0.5,3,1
112,0.5,4,1
113,0.5,5,1
114,0.5,6,1
115,0.5,7,1
116,0.5,8,1
117,0.5,9,1
118,0.5,10,1
119,0.5,11,1
120,0.5,12,1
121,0.5,13,1
122,0.5,14,1
123,0.5,15,1
124,0.5,16,1
125,0.5,17,1
126,0.5,18,1
127,0.5,19,1
128,0.5,20,1
129,0.5,21,1
130,0.5,22,1
131,0.5,23,1
132,0.5,24,1
133,0.5,25,1
134,0.5,26,1
135,0.5,27,1
136,0.5,28,1
137,0.5,29,1
138,0.5,30,1
139,0.5,31,1
140,0.5,32,1
141,0.5,33,1
142,0.5,34,1
143,0.5,35,1
144,0.5,36,1
145,0.5,37,1
146,0.5,38,1
147,0.5,39,1
148,0.5,40,1
149,0.5,41,1
150,0.5,42,1
151,0.5,43,1
152,0.5,44,1
153,0.5,45,1
154,0.5,46,1
155,0.5,47,1
156,0.5,48,1
157,0.5,49,1
158,0.5,50,1
159,0.5,51,1
160,0.5,52,1
161,0.5,53,1
162,0.5,54,1
163,0.5,55,1
164,0.5,56,1
165,0.5,57,1
166,0.5,58,1
167,0.5,59,1
168,0.5,60,1
169,0.5,61,1
170,0.5,62,1
171,0.5,63,1
172,0.5,64,1
173,0.5,65,1
174,0.5,66,1
175,0.5,67,1
176,0.5,68,1
177,0.5,69,1
178,0.4,70,1
179,0.5,71,1
180,0.5,72,1
181,0.5,73,1
182,0.5,74,1
183,0.5,75,1
184,0.5,76,1
185,0.5,77,1
186,0.5,78,1
187,0.5,79,1
188,0.5,80,1
189,0.5,81,1
190,0.5,82,1
191,0.4,83,1
192,0.4,84,1
193,0.5,85,1
194,0.4,86,1
195,0.4,87,1
196,0.4,88,1
197,0.4,89,1
198,0.5,90,1
199,0.4,91,1
200,0.4,92,1
201,0.5,93,1
202,0.4,94,1
203,0.4,95,1
204,0.4,96,1
205,0.4,97,1
206,0.4,98,1
207,0.4,99,1
208,0.4,100,1
209,0.4,101,1
210,0.4,102,1
211,0.4,103,1
212,0.4,104,1
213,0.4,105,1
214,0.4,106,1
215,0.4,107,1
216,0.5,0,2
217,0.5,1,2
218,0.5,2,2
219,0.5,3,2
220,0.5,4,2
221,0.5,5,2
222,0.5,6,2
223,0.5,7,2
224,0.5,8,2
225,0.5,9,2
226,0.5,10,2
227,0.5,11,2
228,0.5,12,2
229,0.5,13,2
230,0.5,14,2
231,0.5,15,2
232,0.5,16,2
233,0.5,17,2
234,0.5,18,2
235,0.5,19,2
236,0.5,20,2
237,0.5,21,2
238,0.5,22,2
239,0.5,23,2
240,0.5,24,2
241,0.5,25,2
242,0.5,26,2
243,0.5,27,2
244,0.5,28,2
245,0.5,29,2
246,0.5,30,2
247,0.5,31,2
248,0.5,32,2
249,0.5,33,2
250,0.5,34,2
251,0.5,35,2
252,0.5,36,2
253,0.5,37,2
254,0.5,38,2
255,0.5,39,2
256,0.5,40,2
257,0.5,41,2
258,0.5,42,2
259,0.5,43,2
260,0.5,44,2
261,0.5,45,2
262,0.5,46,2
263,0.5,47,2
264,0.5,48,2
265,0.5,49,2
266,0.5,50,2
267,0.5,51,2
268,0.5,52,2
269,0.5,53,2
270,0.5,54,2
271,0.5,55,2
272,0.5,56,2
273,0.4,57,2
274,0.5,58,2
275,0.5,59,2
276,0.5,60,2
277,0.5,61,2
278,0.5,62,2
279,0.5,63,2
280,0.5,64,2
281,0.5,65,2
282,0.5,66,2
283,0.5,67,2
284,0.5,68,2
285,0.5,69,2
286,0.5,70,2
287,0.5,71,2
288,0.5,72,2
289,0.5,73,2
290,0.5,74,2
291,0.5,75,2
292,0.5,76,2
293,0.5,77,2
294,0.5,78,2
295,0.5,79,2
296,0.4,80,2
297,0.5,81,2
298,0.4,82,2
299,0.5,83,2
300,0.5,84,2
301,0.5,85,2
302,0.4,86,2
303,0.4,87,2
304,0.4,88,2
305,0.4,89,2
306,0.4,90,2
307,0.4,91,2
308,0.5,92,2
309,0.4,93,2
310,0.4,94,2
311,0.4,95,2
312,0.4,96,2
313,0.4,97,2
314,0.4,98,2
315,0.4,99,2
316,0.4,100,2
317,0.4,101,2
318,0.4,102,2
319,0.5,103,2
320,0.4,104,2
321,0.4,105,2
322,0.4,106,2
323,0.4,107,2
324,0.5,0,3
325,0.5,1,3
326,0.5,2,3
327,0.5,3,3
